$$MCTS$$CALL1     301E                 /02/2003 03:36:04
050108KHLU8205284 2.202210E      ZLOOPT---KHL    0......
380686CAXU9713330 5.004510E      ZLOOPT---KHL    0......
050102TGHU2222576 2.202210E      ZLOOPT---KHL    0......
090302KHLU5210712 2.202210E      ZLOOPT---KHL    0......
050184CLHU2835253 2.202210E      ZLOHKG---KHL    0......
380482TEXU7335896 3.804310E      ZLOOPT---KHL    0......
380684TTNU4114416 3.804310E      ZLOOPT---KHL    0......
090304TGHU2243780 2.202210E      ZLOOPT---KHL    0......
060082FSCU422334114.104310       ZLOBLB---KHL    0......
100988GSTU9790513 5.004510E      ZLOOPT---KHL    0......
100986KHJU5417210 5.004510E      ZLOOPT---KHL    0......
110304TTNU3461391 2.202210E      ZLOOPT---KHL    0......
090984TGHU2198037 2.202210E      ZLOOPT---KHL    0......
070304CAXU6164900 2.202210E      ZLOOPT---KHL    0......
070306TTNU2692288 2.202210E      ZLOOPT---KHL    0......
090504KHLU5224660 2.202210E      ZLOOPT---KHL    0......
090508KHLU5205700 2.202210E      ZLOOPT---KHL    0......
110708MLCU2717870 2.202210E      ZLOOPT---KHL    0......
110108KHLU5226766 2.202210E      ZLOOPT---KHL    0......
110502KHLU1215017 2.202210E      ZLOOPT---KHL    0......
090706CAXU6199716 2.202210E      ZLOOPT---KHL    0......
070506CAXU6062214 2.202210E      ZLOOPT---KHL    0......
090708KHLU5206970 2.202210E      ZLOOPT---KHL    0......
110582TGHU2316757 2.202210E      ZLOOPT---KHL    0......
110504FSCU3554330 2.202210E      ZLOOPT---KHL    0......
110104KHLU1214263 2.202210E      ZLOOPT---KHL    0......
050304TGHU2244488 2.202210E      ZLOOPT---KHL    0......
070508KHLU1209380 2.202210E      ZLOOPT---KHL    0......
110706CAXU6037079 2.202210E      ZLOOPT---KHL    0......
070504CAXU6037612 2.202210E      ZLOOPT---KHL    0......
380282TGHU4411624 3.804310E      ZLOOPT---KHL    0......
380882TGHU4408929 3.804310E      ZLOOPT---KHL    0......
380490TGHU7054963 5.004510E      ZLOOPT---KHL    0......
100510KHJU8405018 5.004510E      ZLOOPT---KHL    0......
380486TGHU7504377 5.004510E      ZLOOPT---KHL    0......
380688KHJU7405902 5.004510E      ZLOOPT---KHL    0......
070102KHLU6203744 2.202210E      ZLOOPT---KHL    0......
380484TGHU4085678 3.804310E      ZLOOPT---KHL    0......
150682CAXU606589314.402210       ZLOCLL---KHL    0......
070782KHLU521869420.502210       ZLOVAP---KHL    0......
380286KHJU7402863 5.004510E      ZLOOPT---KHL    0......
090102KHLU6208469 2.202210E      ZLOOPT---KHL    0......
130882KHLU821002223.102210       ZLOGYE---KHL    0......
110704TTNU3629654 2.202210E      ZLOOPT---KHL    0......
150884TTNU343113921.602210       ZLOGYE---KHL    0......
070284KHLU821735110.402210       BSNBLBONXKHL    0......
151084TTNU360293020.502210       ZLOGYE---KHL    0......
100788TTNU9726348 5.004510E      ZLOOPT---KHL    0......
090308KHLU5203760 2.202210E      ZLOOPT---KHL    0......
090306KHLU9422828 2.202210E      ZLOOPT---KHL    0......
110982MLCU2737855 2.202210E      ZLOOPT---KHL    0......
110508KHLU8208730 2.202210E      ZLOOPT---KHL    0......
140084TGHU422397227.604310       ZLOGYE---KHL    0......
070108TTNU2979597 2.202210E      ZLOOPT---KHL    0......
050308KHLU6206933 2.202210E      ZLOOPT---KHL    0......
070186CLHU2725132 2.202210E      ZLOHKG---KHL    0......
090182KHLU6215447 2.202210E      ZLOOPT---KHL    0......
110584TGHU2315703 2.202210E      ZLOOPT---KHL    0......
090106KHLU5200118 2.202210E      ZLOOPT---KHL    0......
110382TTNU3336595 2.202210E      ZLOOPT---KHL    0......
070382KHLU620096125.102210       ZLOVAP---KHL    0......
130484TGHU215920022.602210       ZLOGYE---KHL    0......
050682KHLU620899910.302210       BSNBLB---KHL    0......
050282KHLU5200329 8.502210       BSNBLB---KHL    0......
150482KHLU620472019.202210       ZLOGYE---KHL    0......
070784KHLU952007020.502210       ZLOVAP---KHL    0......
140086TGHU757914426.304510HC     ZLOGYE---KHL    0......
100388TGHU7064241 5.004510E      ZLOOPT---KHL    0......
100786TGHU7201051 5.004510E      ZLOOPT---KHL    0......
380488FSCU6412215 5.004510E      ZLOOPT---KHL    0......
380888TGHU7504628 5.004510E      ZLOOPT---KHL    0......
100386KHJU5418011 5.004510E      ZLOOPT---KHL    0......
130682KHLU522023819.202210       ZLOGYE---KHL    0......
050582TTNU3610812 4.202210       ZLOVAP---KHL    0......
150882GLDU223585416.502210       ZLOGYE---KHL    0......
140408TTNU4413839 9.804310       ZLOCLL---KHL    0......
140410TTNU4116281 7.504310       ZLOCLL---KHL    0......
130884TTNU332844019.902210       ZLOGYE---KHL    0......
150686KHLU522176419.902210       ZLOGYE---KHL    0......
130282KHLU120619121.902210       ZLOGYE---KHL    0......
090584KHLU6209444 2.202210E      ZLOOPT---KHL    0......
130486CAXU2999407 3.502010       ZLOGYE---KHL    0......
050106CAXU6166991 2.202210E      ZLOOPT---KHL    0......
