              REPORTE DE CATALOGO DE CODIGOS DE COMERCIO EXTERIOR  
                                 TIPOS DE EMBALAJE

---------------------------------------------------------------------------------------------
      Codigo       ¦                    Descripcion                                          
---------------------------------------------------------------------------------------------
AE 	              AEROSOL 
AP 	              AMPOLLA, PROTEGIDA
AM 	              AMPOLLA, SIN PROTEGER
RG 	              ANILLO
CH 	              ARCÓN
SE 	              ARCÓN MARINO
RJ 	              ARMARIO ROPERO, MOVIL
BH 	              ATADO
CJ 	              ATAÚD
AT 	              ATOMIZADOR
BL 	              BALA, COMPRIMIDA
BN 	              BALA, SIN COMPRIMIR
BJ 	              BALDE («BUCKET»)
BP 	              BALÓN, PROTEGIDO
BF 	              BALÓN, SIN PROTEGER
PU 	              BANDEJA («TRAY») O PAQUETE DE BANDEJAS («TRAY PACK»)
DT 	              BANDEJA DE MADERA,  DE UN NIVEL SIN TAPA
DX 	              BANDEJA DE MADERA, DE DOS NIVELES SIN TAPA
DW 	              BANDEJA DE PLASTICO DE DOS NIVELES SIN TAPA
DU 	              BANDEJA DE POLIESTIRENO DE UN NIVEL SIN TAPA
DS 	              BANDEJA PLASTICO DE UN NIVEL SIN TAPA
DY 	              BANDEJA, DE CARTON, DE DOS NIVELES, SIN TAPA
DV 	              BANDEJA, DE CARTON, DE UN NIVEL, SIN TAPA
BR 	              BARRA
BZ 	              BARRAS, EN HAZ/ATADO/FAJO
BM 	              BARREÑO
BU 	              BARRICA («BUTT»)
BA 	              BARRIL («BARREL»)
KG 	              BARRILETE («KEG»)
FI 	              BARRILITO
TR 	              BAÚL («TRUNCK»)
1A 	              BIDON DE ACERO
QA 	              BIDON DE ACERO PARTE SUPERIOR FIJA
QB 	              BIDON DE ACERO PARTE SUPERIOR REMOVIBLE
1B 	              BIDON DE ALUMINIO
QC 	              BIDON DE ALUMINIO PARTE SUPERIOR FIJA
QD 	              BIDON DE ALUMINIO PARTE SUPERIOR REMOVIBLE
1G 	              BIDON DE CARTON
1D 	              BIDON DE CONTRACHAPADO
DI 	              BIDON DE HIERRO
1W 	              BIDON DE MADERA
1H 	              BIDON DE PLASTICO
QF 	              BIDON DE PLASTICO PARTE SUPERIOR FIJA
QG 	              BIDON DE PLASTICO PARTE SUPERIOR REMOVIBLE
AI 	              BLISTER DOBLE
BB 	              BOBINA («BOBBIN»)
CL 	              BOBINA («COIL»)
SD 	              BOBINA («SPINDLE»)
BG 	              BOLSA
MB 	              BOLSA DE HOJAS SUPERPUESTAS
SH 	              BOLSITA («SACHET»)
